fid,Id,codig,POINT_X,POINT_Y,UCS_F,pH,N,MO,K,Ca,Mg,CIC,P,Fe,Mn,Zn,Cu,S,B,Ar,L,A,Clasif,Al,asnm,C,Cobertura,Tipo_Cober,dem1,dem_aspect1,dem_aspect_slope1
78,0,78,882491.301101,1087011.56594,GAef1,5.1,0.61,17.5,0.19,0.34,0.14,28,7,146,16,4.6,2.3,12.8,0.71,18,18,64,FrancoArenoso,1,1902.17834473,8.2,Platano,Agricola,1899.76672363281,65.1140213012695,17.2818698883057
79,0,79,882611.301101,1087011.56594,GAef1,5.2,0.69,20.7,0.34,0.74,0.16,33,14,159,23,5.9,1.8,14.7,0.04,20,12,68,FrancoArenoso,1.3,1875.54370117,9.3,Eucalipto,Silvopastoril,1874.23706054688,89.979606628418,17.2210521697998
80,0,80,882401.301101,1087041.56594,SIde,5,0.78,26.2,0.33,0.07,0.22,35,9,222,20,11.2,2.3,10.7,0.19,20,16,63,FrancoArenoso,2.3,1902.23742676,10.9,Eucalipto,Silvopastoril,1901.26184082031,310.3671875,9.09586429595947
81,0,81,882461.301101,1087041.56594,GAef1,5.2,0.68,20.3,0.52,1.45,0.19,34,9,158,29,8.4,2.7,16.1,0.3,20,18,61,FrancoArenoso,0.9,1896.14758301,9.2,Eucalipto,Silvopastoril,1895.93103027344,61.5345687866211,12.381178855896
82,0,82,882551.301101,1087041.56594,GAef1,5.1,0.7,21.3,0.36,0.81,0.18,30,7,128,27,6.9,2.1,15.1,0.34,16,18,65,FrancoArenoso,1.1,1878.91699219,9.4,Eucalipto,Silvopastoril,1880.44702148438,26.4095916748047,16.6452884674072
83,0,83,882581.301101,1087041.56594,GAef1,5.2,0.72,22.3,0.39,1.57,0.2,32,4,188,27,7.9,1.3,7.3,0.4,20,20,59,FrancoArenoso,1.3,1876.22668457,9.7,Eucalipto,Silvopastoril,1875.69018554688,18.2395706176758,17.1788749694824
84,0,84,882641.301101,1087041.56594,GAef1,5.3,0.65,19,0.7,1.61,0.21,34,9,161,20,4.6,1.4,10.2,0.26,20,20,59,FrancoArenoso,1,1864.06030273,8.8,Ganaderia,Pasturas,1863.65283203125,23.0546646118164,15.5380086898804
85,0,85,882701.301101,1087041.56594,GAef1,5.2,0.71,21.9,0.33,0.54,0.19,35,5,109,14,2.8,1.3,11.9,0.48,18,22,59,FrancoArenoso,1.6,1844.32495117,9.6,rastrojo,Bosque,1845.65246582031,58.5347213745117,26.3778533935547
86,0,86,882401.301101,1087071.56594,SIde,4.9,0.78,26.8,0.32,0.01,0.19,33,14,162,16,6.8,1.7,12,0.07,20,10,69,FrancoArenoso,2.1,1898.67687988,11,Eucalipto,Silvopastoril,1898.35815429688,310.245849609375,15.7834234237671
87,0,87,882401.301101,1087101.56594,SIde,5.2,0.72,22.8,0.22,0.13,0.2,34,6,184,12,5,1,12.9,0,18,12,69,FrancoArenoso,1.5,1888.64880371,9.9,Eucalipto,Silvopastoril,1889.77014160156,352.472717285156,13.3724927902222
